mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing,source
1.84835E+13,1352118492,0,2236.013184,0,0,28.9659996,-13.5395937,0,gfw
1.84835E+13,1343951964,36877.27344,45397.125,0.899999976,187.8999939,28.99878693,-13.12964153,1,gfw
1.84835E+13,1352245339,0,2236.013184,0,297.5,28.96595955,-13.53954506,0,gfw
1.84835E+13,1351293623,0,2236.013184,0,148.8999939,28.96593285,-13.53956127,0,gfw
1.84835E+13,1343093659,79509.05469,113143.1406,1.399999976,200.6000061,29.34642029,-12.62614822,1,gfw
1.84835E+13,1351668635,0,2236.013184,0,354.7000122,28.96593094,-13.53956318,0,gfw
1.84835E+13,1351756483,0,2236.013184,0,342.2000122,28.96591949,-13.53958988,0,gfw
1.84835E+13,1351798357,0,2236.013184,0,339.5,28.96598625,-13.53954792,0,gfw
1.84835E+13,1347062853,54007.93359,121791.9219,0.300000012,214.6000061,27.62841988,-14.49988651,0.33333334,gfw
1.84835E+13,1351952008,0,2236.013184,0,75.5,28.96598053,-13.53956985,0,gfw
1.84835E+13,1352437100,0,2236.013184,0,5.900000095,28.96594048,-13.53957176,0,gfw
1.84835E+13,1352675690,0,2236.013184,0,0,28.96597672,-13.53958511,0,gfw
1.84835E+13,1345504708,61031.28125,82967.83594,0.899999976,244.6000061,29.12094307,-12.81895161,1,gfw
1.84835E+13,1350740863,0,2236.013184,0,0,28.96599007,-13.53959656,0,gfw
1.84835E+13,1351130171,0,2236.013184,0,45.20000076,28.96596909,-13.53954983,0,gfw
1.84835E+13,1352147740,0,2236.013184,0,160.1999969,28.96595573,-13.5395565,0,gfw
1.84835E+13,1351126577,0,2236.013184,0,261.7000122,28.96595383,-13.53958511,0,gfw
1.84835E+13,1350645130,0,2236.013184,0,185.1999969,28.9659462,-13.53958321,0,gfw
1.84835E+13,1352939268,0,2236.013184,0,220.3999939,28.96594048,-13.5395546,0,gfw
1.84835E+13,1351744240,0,2236.013184,0.100000002,174.6999969,28.9659462,-13.53954792,0,gfw
1.84835E+13,1352972674,0,2236.013184,0,0,28.96593285,-13.53953362,0,gfw
1.84835E+13,1351917728,0,2236.013184,0,298.7999878,28.96594238,-13.53956985,0,gfw
1.84835E+13,1352140200,0,2236.013184,0,0,28.96598053,-13.53958511,0,gfw
1.84835E+13,1352895253,0,2236.013184,0,158.6999969,28.96599579,-13.53953362,0,gfw
1.84835E+13,1351735241,0,2236.013184,0,183.6000061,28.96594238,-13.53954506,0,gfw
1.84835E+13,1351576413,0,2236.013184,0,171.8999939,28.96592331,-13.5395546,0,gfw
1.84835E+13,1351760262,0,2236.013184,0,0,28.96593285,-13.5395813,0,gfw
1.84835E+13,1352194750,0,2236.013184,0.100000002,124.3000031,28.96591949,-13.5395546,0,gfw
1.84835E+13,1352937018,0,2236.013184,0,169.3999939,28.96598053,-13.53957462,0,gfw
1.84835E+13,1346482971,79553.0625,89552.25,2.700000048,327.5,27.43428421,-14.13256359,1,gfw
